                        objid   model   pb               l                b   cadence  
  WFD_01_NONIa-0001_106760594    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0001_148049942    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0001_184828753    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0001_35348758    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0002_114915252    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0002_119894359    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0002_127943000    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0002_13578841    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0002_16238666    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0002_193053385    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0002_216727497    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0002_21783271    SN1a    u   230.921576422   -8.85598158305    15.426  
    WFD_01_NONIa-0002_3766849    SN1a    u   230.921576422   -8.85598158305    15.426  
    WFD_01_NONIa-0002_4869006    SN1a    u    230.15834411    9.34403843889    29.902  
    WFD_01_NONIa-0002_8397990    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0002_91801617    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0003_109475418    SN1a    u    230.15834411    9.34403843889    25.937  
  WFD_01_NONIa-0003_151573312    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0003_154819444    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0003_160897437    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0003_181750002    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0003_194786750    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0003_210055938    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0003_24198912    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0003_35405158    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0003_52688738    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0003_81381510    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0004_120739608    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0004_145329041    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0004_152000272    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0004_160220652    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0004_31688067    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0004_60591440    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0004_63854254    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0004_74067152    SN1a    u   230.921576422   -8.85598158305     27.42  
    WFD_01_NONIa-0004_7731218    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0004_89524835    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0005_1167418    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0005_143709560    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0005_166334385    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0005_216284933    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0005_24960695    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0005_33746321    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0005_56517227    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0005_91308603    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0006_148033141    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0006_151598418    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0006_164757554    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0006_179135200    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0006_183826783    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0006_185998925    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0006_190010520    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0006_1925582    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0006_218395459    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0006_22234758    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0006_22528822    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0006_24089209    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0006_64714126    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0006_81766269    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0006_86898235    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0006_89211430    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0006_89407828    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0007_107888883    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0007_110639014    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0007_134349708    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0007_141992527    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0007_173801375    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0007_17414086    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0007_202304873    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0007_28975786    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0007_3744702    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0007_42665193    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0007_45250446    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0007_61093367    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0008_104076322    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0008_107498900    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0008_15073015    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0008_152303324    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0008_174540623    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0008_221675402    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0008_63113723    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0008_73933632    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0008_96661727    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0009_135208504    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0009_1632406    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0009_172422121    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0009_173380871    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0009_178973947    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0009_48661193    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0009_64137554    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0009_73270510    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0009_77934522    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0010_123284887    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0010_132696671    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0010_151853999    SN1a    u    230.15834411    9.34403843889    25.937  
  WFD_01_NONIa-0010_151863978    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0010_157700851    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0010_165962929    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0010_193764637    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0010_32310141    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0010_40663879    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0011_105478514    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0011_147850786    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0011_159408283    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0011_179904491    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0011_187376976    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0011_193885838    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0011_218993715    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0011_25892818    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0011_27576080    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0011_51458922    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0011_67674289    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0011_71379631    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0011_79187154    SN1a    u   230.921576422   -8.85598158305   27.9475  
    WFD_01_NONIa-0011_9353075    SN1a    u    230.15834411    9.34403843889    25.937  
  WFD_01_NONIa-0012_119970433    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0012_12182003    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0012_137239837    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0012_138655104    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0012_151950883    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0012_172713879    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0012_173847166    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0012_198548972    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0012_200787205    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0012_206158387    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0012_210947266    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0012_48653285    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0012_70399158    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0013_10525465    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0013_114024447    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0013_154843684    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0013_162274652    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0013_173200022    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0013_43436285    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0013_67261169    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0014_118631256    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0014_145064769    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0014_175914811    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0014_185622325    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0014_195147200    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0014_210943163    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0014_217908748    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0014_222297860    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0014_30221982    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0014_32028733    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0014_32955635    SN1a    u    230.15834411    9.34403843889    13.463  
   WFD_01_NONIa-0014_79361059    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0014_90483471    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0015_109783983    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0015_112790333    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0015_145163592    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0015_154823641    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0015_161649556    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0015_162162974    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0015_180289772    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0015_18806427    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0015_192052122    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0015_198573650    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0015_19886936    SN1a    u    230.15834411    9.34403843889    13.463  
  WFD_01_NONIa-0015_201466278    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0015_21466363    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0015_26157754    SN1a    u    230.15834411    9.34403843889    13.463  
    WFD_01_NONIa-0015_2936972    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0015_55923294    SN1a    u   230.921576422   -8.85598158305   27.9475  
   WFD_01_NONIa-0015_65763678    SN1a    u    230.15834411    9.34403843889    25.937  
   WFD_01_NONIa-0015_75453861    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0015_79983505    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0016_131710485    SN1a    u    230.15834411    9.34403843889    29.902  
  WFD_01_NONIa-0016_133462791    SN1a    u    230.15834411    9.34403843889    25.937  
  WFD_01_NONIa-0016_173712346    SN1a    u   230.921576422   -8.85598158305   27.9475  
  WFD_01_NONIa-0016_187487773    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0016_194138305    SN1a    u   230.921576422   -8.85598158305     27.42  
  WFD_01_NONIa-0016_209781766    SN1a    u   230.921576422   -8.85598158305    15.426  
  WFD_01_NONIa-0016_222149540    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0016_24376290    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0016_28378085    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0016_39236371    SN1a    u   230.921576422   -8.85598158305    15.426  
   WFD_01_NONIa-0016_39427571    SN1a    u   230.921576422   -8.85598158305     27.42  
   WFD_01_NONIa-0016_61277231    SN1a    u    230.15834411    9.34403843889    29.902  
   WFD_01_NONIa-0016_63901622    SN1a    u   230.921576422   -8.85598158305   27.9475  
